Day Of Week,District,Hour,Incident Number,Lat,Location,Long,Month,Number of Records,Occurred On Date,Offense Code,Offense Code Group,Offense Description,Reporting Area,Shooting,Street,Ucr Part,Year
Friday,B3,22,I172007453,42.279225,"(42.27922500, -71.09460271)",-71.09460271,1,1,1/27/2017 10:24:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),468,,FOTTLER RD,Other,2017
Friday,E13,14,I172005293,42.32290252,"(42.32290252, -71.10220402)",-71.10220402,1,1,1/20/2017 2:11:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),912,,CENTRE ST,Other,2017
Friday,E5,9,I172007224,42.28788933,"(42.28788933, -71.12658585)",-71.12658585,1,1,1/27/2017 9:52:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),562,,WASHINGTON ST,Other,2017
Friday,B2,14,I172009307,42.31462973,"(42.31462973, -71.09261520)",-71.0926152,2,1,2/3/2017 2:02:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),316,,ABBOTSFORD ST,Other,2017
Friday,E13,16,I172009334,42.32483301,"(42.32483301, -71.10164757)",-71.10164757,2,1,2/3/2017 4:17:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),581,,BICKFORD ST,Other,2017
Friday,E13,20,I172015353,42.31915678,"(42.31915678, -71.10067583)",-71.10067583,2,1,2/24/2017 8:30:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),948,,AMORY ST,Other,2017
Friday,E18,5,I172012947,42.24260011,"(42.24260011, -71.13035022)",-71.13035022,2,1,2/17/2017 5:43:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),523,,HYDE PARK AVE,Other,2017
Friday,E5,9,I172015012,42.28038583,"(42.28038583, -71.12287344)",-71.12287344,2,1,2/24/2017 9:56:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),556,,SEYMOUR ST,Other,2017
Friday,A15,13,I172017368,42.37673383,"(42.37673383, -71.06398770)",-71.0639877,3,1,3/3/2017 1:00:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),55,,HIGH ST,Other,2017
Friday,A7,18,I172023091,42.3730775,"(42.37307750, -71.03597112)",-71.03597112,3,1,3/24/2017 6:33:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),28,,PORTER ST,Other,2017
Friday,B2,12,I172017123,42.33123776,"(42.33123776, -71.09140736)",-71.09140736,3,1,3/3/2017 12:45:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),266,,MALCOLM X BLVD,Other,2017
Friday,,18,I172027116,,"(0.00000000, 0.00000000)",,4,1,4/7/2017 6:00:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),,,,Other,2017
Friday,A1,22,I172031264,42.35241815,"(42.35241815, -71.06525499)",-71.06525499,4,1,4/21/2017 10:08:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),118,,BOYLSTON ST,Other,2017
Friday,B2,10,I172031023,42.31580934,"(42.31580934, -71.07618683)",-71.07618683,4,1,4/21/2017 10:43:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),325,,WOODCLIFF ST,Other,2017
Friday,B2,12,I172031064,42.31544307,"(42.31544307, -71.05979900)",-71.059799,4,1,4/21/2017 12:40:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),258,,PLEASANT ST,Other,2017
Friday,B2,21,I172029224,42.33297865,"(42.33297865, -71.08795759)",-71.08795759,4,1,4/14/2017 9:18:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),909,,CABOT ST,Other,2017
Friday,E18,1,I172030978,42.25220188,"(42.25220188, -71.13095053)",-71.13095053,4,1,4/21/2017 1:20:36 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),542,,RESERVATION RD,Other,2017
Friday,B3,10,I172035298,42.295831,"(42.29583100, -71.07831501)",-71.07831501,5,1,5/5/2017 10:36:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),446,,ATHELWOLD ST,Other,2017
Friday,E5,9,I172037240,42.28756847,"(42.28756847, -71.12281551)",-71.12281551,5,1,5/12/2017 9:31:00 AM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),563,,FLORENCE ST,Other,2017
Friday,A15,21,I172046150,,"(0.00000000, 0.00000000)",,6,1,6/9/2017 9:30:00 PM,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),40,,CHELSEA ST,Other,2017
