Date,Number of Records,Primary Type
1/9/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/12/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 4:35:00 PM,1,MOTOR VEHICLE THEFT
1/16/2017 7:00:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 12:01:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 8:51:00 PM,1,MOTOR VEHICLE THEFT
1/20/2017 10:58:00 PM,1,MOTOR VEHICLE THEFT
1/21/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/21/2017 11:25:00 PM,1,MOTOR VEHICLE THEFT
1/22/2017 1:00:00 AM,1,MOTOR VEHICLE THEFT
1/22/2017 2:30:00 PM,1,MOTOR VEHICLE THEFT
1/22/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/22/2017 11:30:00 PM,1,MOTOR VEHICLE THEFT
1/23/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
1/24/2017 5:45:00 AM,1,MOTOR VEHICLE THEFT
1/25/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/25/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/25/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/26/2017 3:29:00 PM,1,MOTOR VEHICLE THEFT
1/26/2017 7:50:00 PM,1,MOTOR VEHICLE THEFT
1/29/2017 10:45:00 AM,1,MOTOR VEHICLE THEFT
1/29/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
1/29/2017 10:20:00 PM,1,MOTOR VEHICLE THEFT
1/30/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/30/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/30/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
2/10/2017 10:30:00 AM,1,MOTOR VEHICLE THEFT
2/10/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
2/10/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
2/11/2017 7:30:00 AM,1,MOTOR VEHICLE THEFT
2/12/2017 10:45:00 AM,1,MOTOR VEHICLE THEFT
2/12/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
