2017,F1,F2,Number of Records
361510,New York State,Index Crime,1
70565,,Violent Crime,1
547,,Murder,1
6363,,Rape,1
20026,,Robbery,1
43629,,Agg. Assault,1
290945,,Property Crime,1
34727,,Burglary,1
242888,,Larceny,1
13330,,MV Theft,1
171248,New York City,Index Crime,1
46433,,Violent Crime,1
292,,Murder,1
2375,,Rape,1
13995,,Robbery,1
29771,,Agg. Assault,1
124815,,Property Crime,1
11104,,Burglary,1
107976,,Larceny,1
5735,,MV Theft,1
190262,Non-New York City,Index Crime,1
24132,,Violent Crime,1
255,,Murder,1
3988,,Rape,1
6031,,Robbery,1
13858,,Agg. Assault,1
166130,,Property Crime,1
23623,,Burglary,1
134912,,Larceny,1
7595,,MV Theft,1
,Note: The increase in,the violent crime to,1
,"Source: DCJS, Unifo",rm Crime Reporting,1
,Includes all reports r,eceived as of 9/4/201,1
