# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H10,200-299,4/10/2017,15,1,Burglary,Residence or House,CLIFTON,-,-
1,10H10,2300-2399,4/11/2017,15,1,Theft,Restaurant or Cafeteria Parking Lot,CANAL,-,ST
1,10H10,2300-2399,4/11/2017,17,1,Theft,Restaurant or Cafeteria Parking Lot,CANAL,-,ST
1,10H10,4600-4699,4/12/2017,09,1,Burglary,Miscellaneous Business (Non-Specific),CANAL,-,ST
1,10H10,100-199,4/12/2017,19,1,Theft,"Other, Unknown, or Not Listed",ADAM,-,LN
1,10H10,200-299,4/14/2017,17,1,Robbery,"Other, Unknown, or Not Listed",STILES,-,-
1,10H10,5100-5199,4/18/2017,00,1,Burglary,Miscellaneous Business (Non-Specific),HARRISBURG,-,BLVD
1,10H10,600-699,3/18/2017,14,1,Theft,Bank,LOCKWOOD,-,DR
1,10H10,3500-3599,3/31/2017,09,1,Burglary,Miscellaneous Business (Non-Specific),NAVIGATION,-,-
1,10H10,2900-2999,4/3/2017,02,1,Theft,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H10,600-699,4/3/2017,17,1,Burglary,Residence or House,STILES,-,-
1,10H10,4500-4599,4/3/2017,19,1,Burglary,Other Parking Lot,CANAL,-,ST
1,10H10,200-299,4/5/2017,06,1,Theft,"Road, Street, or Sidewalk",EVERTON,N,ST
1,10H10,4300-4399,4/6/2017,07,1,Robbery,"Road, Street, or Sidewalk",WILMER,-,-
1,10H10,300-399,4/6/2017,19,1,Burglary,Residence or House,ESTELLE,N,ST
1,10H10,4400-4499,4/7/2017,07,1,Auto Theft,Apartment Parking Lot,CANAL,-,ST
1,10H10,5400-5499,4/8/2017,13,1,Theft,Convenience Store Parking Lot,HARRISBURG,-,BLVD
1,10H10,300-399,4/20/2017,19,1,Burglary,Residence or House,EVERTON,-,ST
1,10H10,3600-3699,4/21/2017,15,1,Burglary,Miscellaneous Business (Non-Specific),NAVIGATION,-,-
1,10H10,2200-2299,4/22/2017,03,1,Theft,"Road, Street, or Sidewalk",COMMERCE,-,ST
