Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,7200-7299,08/02/2017,13,1,Burglary,1,Residence or House,KARNES,-,-
10H10,UNK,08/02/2017,20,1,Burglary,1,Apartment,COLBY ST,-,ST
10H10,300-399,08/03/2017,13,1,Theft,1,Other Parking Lot,S JENSEN DR,-,-
10H10,2000-2099,08/04/2017,21,1,Robbery,1,Convenience Store Parking Lot,RUNNELS,-,-
10H10,3000-3099,08/05/2017,12,1,Theft,1,"Road, Street, or Sidewalk",CANAL ST,-,ST
10H10,4800-4899,08/08/2017,11,1,Theft,1,Residence or House,AVENUE H,-,-
10H10,14700-14799,08/09/2017,15,1,Theft,1,"Road, Street, or Sidewalk",HAWKSMOOR,-,CT
10H10,100-199,08/10/2017,00,1,Theft,1,"Road, Street, or Sidewalk",N ENNIS ST,-,ST
10H10,2300-2399,08/11/2017,08,1,Theft,1,"Road, Street, or Sidewalk",CANAL ST,-,ST
10H10,4300-4399,08/13/2017,09,1,Burglary,1,Residence or House,CRITES ST,-,ST
10H10,200-299,08/14/2017,20,1,Theft,1,Residence or House,GREENWOOD ST,-,ST
10H10,3500-3599,08/15/2017,17,1,Theft,1,Other Parking Lot,CANFIELD,-,-
10H10,3300-3399,08/20/2017,11,1,Burglary,1,Service or Gas Station,CANAL,-,ST
10H10,3900-3999,08/21/2017,10,1,Burglary,1,Residence or House,ROTMAN,-,-
10H10,100-199,08/22/2017,15,1,Theft,1,"Road, Street, or Sidewalk",LOCKWOOD DR,-,-
10H10,3300-3399,08/22/2017,19,1,Theft,1,Service or Gas Station,NAVIGATION,-,-
10H10,300-399,08/23/2017,15,1,AutoTheft,1,"Road, Street, or Sidewalk",EVERTON ST,-,ST
10H10,100-199,08/25/2017,10,1,Theft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,N SAMPSON ST,-,ST
10H10,5400-5499,08/26/2017,02,1,Theft,1,"Road, Street, or Sidewalk",HARRISBURG BLVD,-,BLVD
10H10,100-199,08/29/2017,17,1,Burglary,1,Residence or House,DELMAR ST,-,ST
10H20,13700-13799,08/03/2017,19,1,Robbery,1,Convenience Store Parking Lot,CLARKS FORK,-,DR
10H20,9300-9399,08/03/2017,02,1,Burglary,1,Restaurant or Cafeteria,RANDOLPH STREET,-,-
10H20,200-299,08/03/2017,09,1,Burglary,1,Warehouse,BROADWAY,-,ST
10H20,4300-4399,08/07/2017,15,1,Theft,1,Barber And Beauty Shops,GRADUATE CIRCLE,-,-
10H20,5200-5299,08/07/2017,20,1,Burglary,1,Residence or House,LINDSAY,-,-
10H20,1600-1699,08/08/2017,12,1,Theft,1,"Road, Street, or Sidewalk",EASTWOOD ST,-,ST
10H20,5100-5199,08/08/2017,19,1,Burglary,1,Residence or House,JEFFERSON,-,-
10H20,3800-3899,08/10/2017,07,1,Theft,1,Construction Site,LEELAND,-,-
