Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,2400-2499,12/01/2017,07,1,Theft,1,Apartment Parking Lot,CANAL ST,-,ST
10H10,5200-5299,12/01/2017,12,1,Theft,1,Service or Gas Station,HARRISBURG BLVD,-,BLVD
10H10,4100-4199,12/01/2017,15,1,Theft,1,Convenience Store Parking Lot,BARBERRY,-,DR
10H10,2100-2199,12/01/2017,20,1,Robbery,1,Apartment,CANAL ST,-,ST
10H10,2900-2999,12/01/2017,23,1,Theft,1,Restaurant or Cafeteria,REED,-,RD
10H10,300-399,12/02/2017,10,1,Theft,1,"Road, Street, or Sidewalk",CAYLOR,-,-
10H10,5400-5499,12/03/2017,09,1,Burglary,1,Miscellaneous Business (Non-Specific),HARRISBURG,-,BLVD
10H10,21100-21199,12/05/2017,09,1,Theft,1,Convenience Store,CONCORDIA PARK,-,LN
10H10,5500-5599,12/05/2017,09,1,Burglary,1,Auto Repair,HARRISBURG,-,BLVD
10H10,300-399,12/05/2017,20,1,Robbery,1,"Road, Street, or Sidewalk",EDGEWOOD ST,-,ST
10H10,1600-1699,12/06/2017,07,1,Theft,1,Light Rail Platform,BELLFORT,W,AVE
10H10,2100-2199,12/06/2017,20,1,Theft,1,Apartment,CANAL ST,-,ST
10H10,100-199,12/07/2017,10,1,AutoTheft,1,Residence or House,EASTWOOD ST,-,ST
10H10,2200-2299,12/08/2017,07,1,Burglary,1,Barber And Beauty Shops,NAVIGATION,-,-
10H10,400-499,12/11/2017,10,1,Theft,1,"Road, Street, or Sidewalk",VELASCO,-,ST
10H10,7100-7199,12/11/2017,13,1,Theft,1,"Other, Unknown, or Not Listed",HILLCROFT AVE 120,-,-
10H10,100-199,12/11/2017,16,1,Burglary,1,Residence or House,EVERTON,-,ST
10H10,2100-2199,12/13/2017,19,1,Theft,1,Apartment Parking Lot,RUNNELS,-,-
10H10,UNK,12/13/2017,21,1,Burglary,1,Residence or House,ENNIS,N,ST
10H10,2800-2899,12/14/2017,04,1,Robbery,1,"Road, Street, or Sidewalk",COMMERCE ST,-,ST
10H10,900-999,12/14/2017,19,1,Theft,1,Restaurant or Cafeteria Parking Lot,MARIGOLD PARK,-,PL
10H10,2500-2599,12/15/2017,08,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,2100-2199,12/16/2017,09,1,Theft,1,Commercial Parking Lot or Garage,RUNNELS,-,-
10H10,11300-11399,12/16/2017,15,1,Theft,1,Apartment Parking Lot,SAGEVALE,-,-
10H10,4900-4999,12/16/2017,18,1,Theft,1,Convenience Store,HARRISBURG,-,BLVD
10H10,2300-2399,12/17/2017,08,1,Theft,1,"Road, Street, or Sidewalk",SPERBER LN,-,-
10H10,2300-2399,12/17/2017,11,1,Theft,1,"Road, Street, or Sidewalk",SPERBER LN,-,-
10H10,200-299,12/17/2017,12,1,Theft,1,Residence or House,N BURR,-,-
10H10,2300-2399,12/18/2017,10,1,Robbery,1,Bus Stop,CANAL ST,-,ST
10H10,2300-2399,12/19/2017,07,1,Theft,1,Driveway,SPERBER LN,-,-
10H10,2100-2199,12/19/2017,07,1,AutoTheft,1,Apartment Parking Lot,CANAL ST,-,ST
10H10,2100-2199,12/19/2017,10,1,Theft,1,Apartment Parking Lot,CANAL ST,-,ST
10H10,100-199,12/20/2017,09,1,Burglary,1,Vehicle/Auto Sales/Lease/Auto Parts Store,HUTCHESON,-,-
10H10,5500-5599,12/20/2017,20,1,Theft,1,Light Rail (Metro Rail) Vehicle,HARRISBURG BLVD,-,BLVD
10H10,2500-2599,12/22/2017,06,1,Theft,1,Residence or House,GARROW,-,-
10H10,3500-3599,12/22/2017,07,1,Burglary,1,"Laundry, Dry Cleaners, Washaterias",CANAL,-,ST
10H10,2200-2299,12/22/2017,22,1,Burglary,1,Vacant Government or Public Building,CANAL ST,-,ST
10H10,4200-4299,12/24/2017,04,1,Burglary,1,Bar or Night Club,NAVIGATION,-,-
10H10,100-199,12/25/2017,11,1,Burglary,1,Warehouse,DRENNAN,N,ST
10H10,5900-5999,12/26/2017,07,1,Burglary,1,Auto Repair,HARRISBURG,-,BLVD
10H10,5500-5599,12/26/2017,09,1,Burglary,1,Vehicle/Auto Sales/Lease/Auto Parts Store,HARRISBURG,-,BLVD
10H10,400-499,12/27/2017,08,1,Theft,1,"Road, Street, or Sidewalk",COWLING ST,-,ST
10H10,3300-3399,12/28/2017,10,1,Robbery,1,Convenience Store,CANAL ST,-,ST
