# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H10,300-399,1/22/2017,12,1,Theft,Apartment,LIVE OAK,N,ST
1,10H10,300-399,1/23/2017,09,1,Theft,Residence or House,ENNIS,N,ST
1,10H10,2100-2199,1/24/2017,10,1,Theft,Apartment Parking Lot,CANAL,-,ST
1,10H10,2800-2899,1/24/2017,12,1,Theft,Apartment Parking Lot,CANAL,-,ST
1,10H10,2100-2199,1/24/2017,22,1,Theft,Apartment Parking Lot,RUNNELS,-,-
1,10H10,400-499,1/26/2017,17,1,Theft,"Road, Street, or Sidewalk",LOCKWOOD,S,DR
1,10H10,2000-2099,1/27/2017,08,1,Burglary,"Laundry, Dry Cleaners, Washaterias",RUNNELS,-,-
1,10H10,2800-2899,1/28/2017,15,1,Theft,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
1,10H10,2300-2399,1/29/2017,21,1,Theft,"Road, Street, or Sidewalk",COMMERCE,-,ST
1,10H10,2100-2199,1/29/2017,22,1,Theft,Apartment Parking Lot,CANAL,-,ST
1,10H10,2400-2499,1/30/2017,07,1,Theft,"Road, Street, or Sidewalk",ROUFA,-,RD
1,10H10,100-199,1/31/2017,11,1,Theft,Hospital Parking Lot,ST CHARLES,-,-
1,10H10,3600-3699,1/1/2017,16,1,Theft,,CANAL,-,ST
1,10H10,300-399,1/1/2017,18,1,Theft,Apartment Parking Lot,STILES,-,-
1,10H10,2300-2399,1/3/2017,15,1,Theft,Driveway,ANN,-,ST
1,10H10,UNK,1/4/2017,15,1,Theft,Driveway,CANAL,-,CT
1,10H10,2100-2199,1/5/2017,14,1,Burglary,Apartment,CANAL,-,ST
1,10H10,UNK,1/7/2017,09,1,Theft,Driveway,ENNIS,N,ST
1,10H10,5300-5399,1/8/2017,01,1,Theft,Car Wash,HARRISBURG,-,BLVD
1,10H10,2500-2599,1/8/2017,15,1,Auto Theft,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H10,500-599,1/8/2017,16,1,Theft,Other Parking Lot,HUTCHESON,N,ST
1,10H10,2100-2199,1/9/2017,04,1,Theft,Apartment Parking Lot,RUNNELS,-,-
1,10H10,2300-2399,1/9/2017,08,1,Theft,Residence or House,ANN,-,ST
1,10H10,2900-2999,1/9/2017,17,1,Theft,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H10,1900-1999,1/10/2017,15,1,Robbery,Apartment Parking Lot,RUNNELS,-,-
1,10H10,300-399,1/11/2017,20,1,Burglary,"Other, Unknown, or Not Listed",DELMAR,-,ST
1,10H10,2500-2599,1/11/2017,22,1,Theft,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
1,10H10,2100-2199,1/12/2017,08,1,Theft,Apartment Parking Lot,RUNNELS,-,-
1,10H10,2400-2499,1/12/2017,08,1,Theft,"Road, Street, or Sidewalk",ROUFA,-,RD
1,10H10,1900-1999,1/12/2017,16,1,Burglary,Apartment,RUNNELS,-,-
2,10H10,2300-2399,1/12/2017,16,1,Theft,"Road, Street, or Sidewalk",SPERBER,-,LN
1,10H10,UNK,1/13/2017,09,1,Auto Theft,Residence or House,SIDNEY,-,-
1,10H10,4500-4599,1/13/2017,10,1,Robbery,Light Rail (Metro Rail) Vehicle,HARRISBURG,-,BLVD
1,10H10,3500-3599,1/13/2017,16,1,Theft,Bar or Night Club,HARRISBURG,-,BLVD
1,10H10,6100-6199,1/14/2017,12,1,Theft,Police Station,INDUSTRIAL,-,WAY
1,10H10,2800-2899,1/14/2017,15,1,Robbery,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H10,4500-4599,1/15/2017,15,1,Burglary,Residence or House,CANAL,-,ST
1,10H10,100-199,1/16/2017,22,1,Robbery,Residence or House,YORK,N,ST
1,10H10,UNK,1/16/2017,22,1,Theft,"Road, Street, or Sidewalk",SIDNEY,-,-
1,10H10,300-399,1/18/2017,19,1,Robbery,"Road, Street, or Sidewalk",JENSEN,S,DR
1,10H10,600-699,1/18/2017,21,1,Burglary,Residence or House,YORK,-,ST
1,10H10,2500-2599,1/19/2017,07,1,Theft,"Road, Street, or Sidewalk",GARROW,-,-
1,10H10,1900-1999,1/19/2017,16,1,Burglary,Apartment,RUNNELS,-,-
