Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,2800-2899,07/01/2017,17,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,2100-2199,07/02/2017,01,1,Theft,1,Apartment Parking Lot,CANAL ST,-,ST
10H10,4700-4799,07/03/2017,17,1,Theft,1,Miscellaneous Business (Non-Specific),HARRISBURG,-,BLVD
10H10,1600-1699,07/03/2017,22,1,Robbery,1,"Road, Street, or Sidewalk",BERING,-,DR
10H10,100-199,07/07/2017,20,1,AutoTheft,1,Driveway,CHRISTENSEN ST,-,ST
10H10,UNK,07/10/2017,13,1,Theft,1,Not Listed,N.HUTCHESON,-,-
10H10,2800-2899,07/10/2017,16,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,7300-7399,07/11/2017,01,1,Theft,1,Residence or House,SHERMAN APT,-,-
10H10,100-199,07/11/2017,17,1,Theft,1,"Road, Street, or Sidewalk",NAGLE STREET,-,-
10H10,2900-2999,07/14/2017,14,1,Burglary,1,"Multi-Plex Home (Duplex,Triplex Etc.)",COMMERCE ST,-,ST
10H10,400-499,07/15/2017,22,1,Theft,1,Other Parking Lot,ST EMANUEL,-,-
10H10,2800-2899,07/16/2017,14,1,Burglary,1,Residence or House,CANAL,-,ST
10H10,2000-2099,07/17/2017,06,1,Theft,1,"Road, Street, or Sidewalk",RUNNELS,-,-
10H10,400-499,07/18/2017,11,1,Burglary,1,"Vacant Single Occ Resd(House,Townhs,Dplex)",N NAGLE,-,-
10H10,2500-2599,07/18/2017,19,1,AutoTheft,1,Miscellaneous Business (Non-Specific),COMMERCE ST,-,ST
10H10,6300-6399,07/19/2017,19,1,Theft,1,Commercial Parking Lot or Garage,STILLWELL,-,ST
10H10,3300-3399,07/21/2017,08,1,Burglary,1,Miscellaneous Business (Non-Specific),CANAL,-,ST
10H10,5400-5499,07/21/2017,14,1,Theft,1,Driveway,N CAPITOL ST,-,ST
10H10,1400-1499,07/21/2017,17,1,Burglary,1,Residence or House,NORTH LOOP WEST SUITE 720,-,-
10H10,5000-5099,07/23/2017,03,1,Burglary,1,Convenience Store,HARRISBURG,-,BLVD
