Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,500-599,06/02/2017,11,1,AutoTheft,1,"Road, Street, or Sidewalk",N LIVE OAK ST,-,ST
10H10,4100-4199,06/03/2017,13,1,Theft,1,Restaurant or Cafeteria Parking Lot,BILLINGSLEY,-,-
10H10,3100-3199,06/04/2017,09,1,Theft,1,Bar or Night Club Parking Lot,BERING,-,-
10H10,2900-2999,06/04/2017,16,1,Theft,1,"Road, Street, or Sidewalk",COMMERCE ST,-,ST
10H10,2100-2199,06/06/2017,08,1,Theft,1,Commercial Parking Lot or Garage,RUNNELS,-,-
10H10,1900-1999,06/07/2017,13,1,Robbery,1,"Road, Street, or Sidewalk",RUNNELS,-,-
10H10,100-199,06/08/2017,11,1,Theft,1,Driveway,LINWOOD,-,-
10H10,4500-4599,06/08/2017,22,1,Theft,1,Commercial Building,HARRISBURG,-,BLVD
10H10,5000-5099,06/09/2017,09,1,Theft,1,Commercial Parking Lot or Garage,HARRISBURG BLVD OB,-,-
10H10,2100-2199,06/09/2017,17,1,Theft,1,Apartment Parking Lot,CANAL ST,-,ST
10H10,5100-5199,06/09/2017,21,1,Robbery,1,Vehicle/Auto Sales/Lease/Auto Parts Store,HARRISBURG,-,BLVD
10H10,1400-1499,06/10/2017,02,1,Theft,1,"Road, Street, or Sidewalk",LONG VIEW DRIVE,-,-
10H10,2100-2199,06/10/2017,09,1,Theft,1,Driveway,CANAL ST,-,ST
10H10,3300-3399,06/10/2017,10,1,Theft,1,Commercial Parking Lot or Garage,CANAL,-,ST
10H10,2300-2399,06/10/2017,12,1,Theft,1,Restaurant or Cafeteria Parking Lot,CANAL ST,-,ST
10H10,1900-1999,06/10/2017,14,1,AutoTheft,1,Apartment Parking Lot,RUNNELS,-,-
10H10,3000-3099,06/11/2017,11,1,Theft,1,"Road, Street, or Sidewalk",CANAL ST,-,ST
10H10,200-299,06/12/2017,14,1,Theft,1,Residence or House,DRENNAN ST,-,ST
10H10,300-399,06/12/2017,19,1,Burglary,1,Residence or House,HUTCHESON,-,-
10H10,1200-1299,06/13/2017,01,1,Robbery,1,"Road, Street, or Sidewalk",CULLEN APT A,-,-
10H10,600-699,06/15/2017,08,1,Theft,1,Construction Site,N LIVE OAK ST,-,ST
10H10,300-399,06/15/2017,15,1,Theft,1,Vacant Other Out Build/Monument/UnderConst,PALMER,-,-
10H10,100-199,06/16/2017,18,1,Robbery,1,"Road, Street, or Sidewalk",N EDGEWOOD ST,-,ST
10H10,700-799,06/17/2017,19,1,Theft,1,Bar or Night Club Parking Lot,RAZEE,-,CT
