# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H10,3200-3299,3/15/2017,08,1,Theft,Commercial Parking Lot or Garage,HARRISBURG,-,BLVD
1,10H10,4800-4899,3/15/2017,14,1,Theft,Convenience Store Parking Lot,HARRISBURG,-,BLVD
1,10H10,400-499,3/18/2017,09,1,Theft,Residence or House,NORWOOD,-,-
1,10H10,300-399,3/18/2017,11,1,Burglary,Warehouse,VELASCO,-,-
1,10H10,600-699,3/20/2017,10,1,Theft,Bank or Savings Institution Parking Lot,YORK,N,ST
1,10H10,5600-5699,3/20/2017,12,1,Robbery,"Road, Street, or Sidewalk",HARRISBURG,-,BLVD
1,10H10,4300-4399,2/27/2017,11,1,Theft,Residence or House,GARROW,-,-
1,10H10,100-199,2/28/2017,09,1,Auto Theft,Driveway,BURR,-,-
1,10H10,200-299,3/1/2017,11,1,Burglary,"Road, Street, or Sidewalk",LENOX,N,ST
1,10H10,400-499,3/1/2017,13,1,Theft,Residence or House,MILBY,N,ST
1,10H10,5800-5899,3/2/2017,01,1,Burglary,"Pawn, Resale Shop, or Flea Market",HARRISBURG,-,BLVD
1,10H10,3000-3099,3/2/2017,08,1,Theft,Driveway,HAWKINS,-,-
1,10H10,300-399,3/3/2017,07,1,Theft,Construction Site,DRENNAN,N,ST
1,10H10,5000-5099,3/3/2017,15,1,Robbery,"Road, Street, or Sidewalk",SHERMAN,-,-
1,10H10,3500-3599,3/5/2017,00,1,Theft,"Road, Street, or Sidewalk",HARRISBURG,-,BLVD
1,10H10,3100-3199,3/5/2017,11,1,Theft,Other Parking Lot,BERING,-,-
1,10H10,5500-5599,3/5/2017,17,1,Theft,Miscellaneous Business (Non-Specific),HARRISBURG,-,BLVD
1,10H10,300-399,3/9/2017,20,1,Robbery,Restaurant or Cafeteria,LOCKWOOD,S,DR
1,10H10,5000-5099,3/9/2017,23,1,Robbery,Convenience Store Parking Lot,HARRISBURG,-,BLVD
1,10H10,1900-1999,3/10/2017,06,1,Burglary,Apartment,RUNNELS,-,-
1,10H10,200-299,3/10/2017,12,1,Burglary,Residence or House,ENGEL,-,ST
1,10H10,300-399,3/10/2017,15,1,Theft,Convenience Store Parking Lot,LOCKWOOD,S,DR
1,10H10,300-399,3/23/2017,23,1,Theft,"Road, Street, or Sidewalk",DELANO,N,-
1,10H10,5200-5299,3/24/2017,20,1,Robbery,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H10,5100-5199,3/25/2017,03,1,Burglary,"Electronics Store, Electrical Supplies",HARRISBURG,-,BLVD
1,10H10,3000-3099,3/27/2017,17,1,Theft,Other Parking Lot,CANAL,-,ST
1,10H10,3100-3199,3/27/2017,23,1,Theft,Bar or Night Club Parking Lot,HARRISBURG,-,BLVD
1,10H10,UNK,3/29/2017,00,1,Robbery,"Road, Street, or Sidewalk",SUPER,-,-
1,10H10,5700-5799,3/30/2017,09,1,Burglary,Auto Repair,HARRISBURG,-,BLVD
1,10H10,3000-3099,3/31/2017,22,1,Theft,"Road, Street, or Sidewalk",CANAL,-,ST
1,10H20,4000-4099,3/21/2017,06,1,Theft,Grocery Store or Supermarket Parking Lot,POLK,-,-
1,10H20,1400-1499,3/20/2017,11,1,Theft,Residence or House,GUSTAV,-,-
