Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,5100-5199,05/01/2017,04,1,Burglary,1,Barber And Beauty Shops,HARRISBURG,-,BLVD
10H10,4900-4999,05/01/2017,07,1,Burglary,1,"Laundry, Dry Cleaners, Washaterias",HARRISBURG,-,BLVD
10H10,4600-4699,05/02/2017,06,1,Robbery,1,Light Rail Platform,HARRISBURG BLVD IB,-,-
10H10,2400-2499,05/03/2017,09,1,Theft,1,"Church, Synagogue, or Temple",NAVIGATION,-,-
10H10,300-399,05/03/2017,11,1,AutoTheft,1,Commercial Parking Lot or Garage,S JENSEN DR,-,-
10H10,100-199,05/03/2017,14,1,Theft,1,"Other, Unknown, or Not Listed",N STILES ST,-,ST
10H10,5000-5099,05/04/2017,10,1,Burglary,1,Specialty Store (Non-Specific),HARRISBURG,-,BLVD
10H10,5100-5199,05/07/2017,04,1,Burglary,1,Auto Repair,HARRISBURG,-,BLVD
10H10,5000-5099,05/07/2017,12,1,Burglary,1,Miscellaneous Business (Non-Specific),HARRISBURG,-,BLVD
10H10,5400-5499,05/08/2017,12,1,Theft,1,Residence or House,TEXAS ST,-,ST
10H10,4400-4499,05/09/2017,06,1,Theft,1,Residence or House,CANAL ST,-,ST
10H10,5400-5499,05/09/2017,15,1,Theft,1,Residence or House,TEXAS,-,ST
10H10,2000-2099,05/11/2017,21,1,Robbery,1,"Road, Street, or Sidewalk",RUNNELS,-,-
10H10,100-199,05/12/2017,08,1,Burglary,1,Residence or House,GREENWOOD ST,-,ST
10H10,2900-2999,05/13/2017,09,1,Theft,1,Residence or House,PRESTON ST,-,ST
10H10,500-599,05/13/2017,14,1,Theft,1,"Other, Unknown, or Not Listed",LOCKWOOD DR,-,-
10H10,UNK,05/13/2017,15,1,Burglary,1,Residence or House,JENKINS,-,-
10H10,4500-4599,05/13/2017,16,1,Theft,1,Other Parking Lot,HARRISBURG BLVD OB,-,-
10H10,100-199,05/14/2017,13,1,Robbery,1,"Road, Street, or Sidewalk",EASTWOOD,-,-
10H10,2500-2599,05/16/2017,12,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,3400-3499,05/16/2017,12,1,Robbery,1,Convenience Store,NAVIGATION,-,-
10H10,400-499,05/16/2017,20,1,Burglary,1,Residence or House,PALMER,-,-
10H10,2600-2699,05/17/2017,13,1,Theft,1,Commercial Parking Lot or Garage,COMMERCE ST,-,ST
10H10,600-699,05/18/2017,09,1,Theft,1,Construction Site,N LIVE OAK ST,-,ST
10H10,700-799,05/18/2017,11,1,Theft,1,"Road, Street, or Sidewalk",EAST DR,-,-
10H10,100-199,05/20/2017,21,1,Robbery,1,"Road, Street, or Sidewalk",N BASTROP,-,-
10H10,2300-2399,05/21/2017,15,1,Theft,1,Condominium,COMMERCE ST,-,ST
10H10,3900-3999,05/23/2017,08,1,Theft,1,Liquor Store Parking Lot,NAVIGATION,-,-
10H10,3200-3299,05/23/2017,14,1,Burglary,1,Commercial Building,ENGELKE,-,-
10H10,3000-3099,05/24/2017,15,1,Theft,1,"Parks and Recreation, Zoo, Swimming Pool",GARROW,-,-
10H10,300-399,05/26/2017,08,1,Burglary,1,Construction Site,N. DRENNAN,-,ST
10H10,2100-2199,05/27/2017,09,1,Theft,1,Apartment Parking Lot,RUNNELS,-,-
10H10,6000-6099,05/27/2017,14,1,Theft,1,Strip Business Center Parking Lot,HARRISBURG BLVD IB,-,-
10H10,2900-2999,05/29/2017,20,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,5400-5499,05/30/2017,16,1,Theft,1,Apartment,CANAL,-,-
10H20,4700-4799,05/01/2017,12,1,Theft,1,Service or Gas Station,GULF,-,FWY
10H20,4700-4799,05/01/2017,16,1,Burglary,1,Apartment,RUSK ST,-,ST
10H20,1400-1499,05/02/2017,11,1,Theft,1,Residence or House,LAWSON,-,-
10H20,4500-4599,05/02/2017,18,1,Burglary,1,Garage or Carport,WOODSIDE ST,-,ST
10H20,1300-1399,05/04/2017,01,1,Theft,1,Residence or House,SIDNEY,-,-
10H20,5100-5199,05/06/2017,12,1,Theft,1,Residence or House,POLK STREET,-,-
10H20,6900-6999,05/06/2017,13,1,AutoTheft,1,Apartment Parking Lot,CANAL,-,ST
10H20,1900-1999,05/06/2017,17,1,Theft,1,"Parks and Recreation, Zoo, Swimming Pool",LOCKWOOD DR,-,-
10H20,4100-4199,05/08/2017,05,1,Burglary,1,Restaurant or Cafeteria,MCKINNEY,-,ST
10H20,5100-5199,05/08/2017,08,1,AutoTheft,1,Apartment Parking Lot,GULF FWY IB,-,-
10H20,1700-1799,05/09/2017,15,1,Theft,1,Other Parking Lot,CULLEN BLVD,-,BLVD
10H20,1900-1999,05/10/2017,00,1,Robbery,1,"Road, Street, or Sidewalk",LOMBARDY ST,-,ST
10H20,700-799,05/11/2017,10,1,Burglary,1,Restaurant or Cafeteria,TELEPHONE,-,RD
10H20,1300-1399,05/12/2017,16,1,Robbery,1,Residence or House,PEARSON,-,-
10H20,1300-1399,05/12/2017,18,1,Theft,1,Convenience Store Parking Lot,CULLEN BLVD,-,BLVD
10H20,4000-4099,05/15/2017,13,1,Robbery,1,Miscellaneous Business (Non-Specific),POLK,-,-
10H20,3900-3999,05/17/2017,19,1,Theft,1,Driveway,PEASE ST,-,ST
10H20,2100-2199,05/18/2017,16,1,Theft,1,"Other, Unknown, or Not Listed",ERNESTINE ST,-,ST
10H20,4000-4099,05/18/2017,16,1,Theft,1,Strip Business Center Parking Lot,POLK,-,-
10H20,4400-4499,05/20/2017,23,1,Burglary,1,Miscellaneous Business (Non-Specific),POLK,-,ST
10H20,1000-1099,05/21/2017,02,1,Theft,1,Driveway,DUMBLE ST,-,ST
10H20,4700-4799,05/22/2017,22,1,Theft,1,Service or Gas Station,GULF,-,FWY
10H20,5100-5199,05/22/2017,08,1,Theft,1,Residence or House,JEFFERSON ST,-,ST
10H20,1700-1799,05/22/2017,15,1,Theft,1,Other Parking Lot,S LOCKWOOD DR,-,-
10H20,5300-5399,05/22/2017,18,1,Burglary,1,Residence or House,LEELAND,-,-
10H20,5300-5399,05/30/2017,13,1,Burglary,1,Apartment,BELL ST,-,ST
10H20,1500-1599,05/31/2017,20,1,Theft,1,Apartment,LOMBARDY ST,-,ST
10H30,2100-2199,05/01/2017,20,1,AutoTheft,1,Commercial Parking Lot or Garage,CAPITOL ST,-,ST
