Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,3100-3199,11/01/2017,00,1,Theft,1,Bar or Night Club Parking Lot,BERING,-,-
10H10,3000-3099,11/01/2017,22,1,Theft,1,"Road, Street, or Sidewalk",CANAL ST,-,ST
10H10,2700-2799,11/02/2017,06,1,Burglary,1,Restaurant or Cafeteria,NAVIGATION,-,-
10H10,2300-2399,11/02/2017,08,1,Burglary,1,Restaurant or Cafeteria Parking Lot,CANAL,-,ST
10H10,5400-5499,11/02/2017,17,1,Theft,1,Residence or House,SHERMAN,-,-
10H10,5500-5599,11/03/2017,12,1,Theft,1,Auto Repair,HARRISBURG,-,BLVD
10H10,5900-5999,11/05/2017,15,1,Theft,1,"Road, Street, or Sidewalk",BRADY ST,-,ST
10H10,3600-3699,11/06/2017,08,1,Burglary,1,Miscellaneous Business (Non-Specific),NAVIGATION,-,-
10H10,400-499,11/06/2017,16,1,Robbery,1,Residence or House,COWLING ST,-,ST
10H10,8500-8599,11/06/2017,21,1,Robbery,1,"Road, Street, or Sidewalk",TIDWELL,-,RD
10H10,2300-2399,11/08/2017,08,1,Theft,1,"Road, Street, or Sidewalk",COMMERCE ST,-,ST
10H10,2100-2199,11/08/2017,07,1,Theft,1,"Road, Street, or Sidewalk",RUNNELS,-,-
10H10,100-199,11/08/2017,15,1,Theft,1,Commercial Parking Lot or Garage,GREENWOOD,-,ST
10H10,400-499,11/09/2017,15,1,Theft,1,"Road, Street, or Sidewalk",EAST RIVER,-,DR
10H10,400-499,11/12/2017,11,1,Theft,1,Residence or House,N MILBY ST,-,ST
10H10,1700-1799,11/13/2017,00,1,Theft,1,"Road, Street, or Sidewalk",MAGNOLIA LANE,-,-
10H10,4000-4099,11/13/2017,13,1,Theft,1,Commercial Building,NAVIGATION BLVD,-,BLVD
10H10,3400-3499,11/16/2017,07,1,Theft,1,Restaurant or Cafeteria,NAVIGATION,-,-
10H10,2100-2199,11/16/2017,08,1,Theft,1,Commercial Parking Lot or Garage,RUNNELS,-,-
