Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,500-599,10/01/2017,08,1,Theft,1,Service or Gas Station,LOCKWOOD DR,-,-
10H10,5100-5199,10/03/2017,05,1,Burglary,1,"Physician, Doctor, Dentist's Office",HARRISBURG,-,BLVD
10H10,400-499,10/04/2017,17,1,Theft,1,"Road, Street, or Sidewalk",VELASCO,-,-
10H10,4300-4399,10/06/2017,10,1,Theft,1,Residence or House,WILMER,-,-
10H10,400-499,10/07/2017,06,1,Burglary,1,Residence or House,N LIVE OAK ST,-,ST
10H10,200-299,10/07/2017,09,1,Burglary,1,Residence or House,ST CHARLES,-,-
10H10,3400-3499,10/10/2017,17,1,Theft,1,Commercial Building,NAVIGATION,-,-
10H10,300-399,10/10/2017,19,1,Burglary,1,Residence or House,ALTIC ST,-,ST
10H10,300-399,10/12/2017,22,1,Theft,1,Other Parking Lot,S JENSEN DR,-,-
10H10,4600-4699,10/15/2017,16,1,AutoTheft,1,Other Parking Lot,SHERMAN,-,-
10H10,5100-5199,10/16/2017,03,1,Burglary,1,"Other, Unknown, or Not Listed",HARRISBURG,-,BLVD
10H10,500-599,10/16/2017,08,1,AutoTheft,1,Miscellaneous Business (Non-Specific),SAMPSON,-,-
10H10,300-399,10/16/2017,08,1,Theft,1,Residence or House,N LIVE OAK ST,-,ST
10H10,200-299,10/16/2017,17,1,Theft,1,Driveway,SAMPSON,-,-
10H10,31900-31999,10/20/2017,10,1,Theft,1,Vacant Building (Commercial),TX HIGHWAY 249,-,-
10H10,4400-4499,10/21/2017,00,1,Theft,1,Other Parking Lot,BELVOIR,-,CT
10H10,4700-4799,10/23/2017,08,1,Theft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,HARRISBURG,-,BLVD
10H10,2100-2199,10/24/2017,10,1,Theft,1,Apartment Parking Lot,RUNNELS,-,-
10H10,4100-4199,10/25/2017,12,1,Burglary,1,Bar or Night Club,DARTMOUTH,-,-
10H10,4300-4399,10/27/2017,10,1,Theft,1,Residence or House,WILMER,-,-
10H10,300-399,10/28/2017,11,1,Theft,1,Residence or House,N SUPER ST,-,ST
10H10,2300-2399,10/28/2017,12,1,Theft,1,Restaurant or Cafeteria,NAVIGATION,-,-
10H10,5300-5399,10/29/2017,08,1,Burglary,1,"Other, Unknown, or Not Listed",CANAL,-,ST
10H10,4700-4799,10/29/2017,20,1,AutoTheft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,HARRISBURG,-,BLVD
10H10,2800-2899,10/30/2017,18,1,Theft,1,Restaurant or Cafeteria Parking Lot,NAVIGATION,-,-
10H10,300-399,10/31/2017,01,1,Theft,1,"Road, Street, or Sidewalk",N SAMPSON ST,-,ST
10H20,1400-1499,10/04/2017,19,1,Burglary,1,Residence or House,LAWSON,-,-
10H20,4700-4799,10/04/2017,14,1,Theft,1,Service or Gas Station,GULF FWY IB,-,-
10H20,4200-4299,10/06/2017,20,1,Burglary,1,Residence or House,RUSK,-,ST
