Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H10,6000-6099,01/16/2017,05,1,Theft,1,Commercial Parking Lot or Garage,CANAL,-,ST
10H10,1900-1999,09/03/2017,19,1,Burglary,1,Apartment,RUNNELS,-,-
10H10,2700-2799,09/06/2017,19,1,Theft,1,Driveway,ENGELKE,-,-
10H10,4000-4099,09/07/2017,13,1,Theft,1,Other Parking Lot,WILDWOOD VALLEY,-,CT
10H10,700-799,09/08/2017,05,1,AutoTheft,1,"Road, Street, or Sidewalk",SUPER APT A,N,-
10H10,100-199,09/08/2017,11,1,Theft,1,Driveway,ADAM LN,-,-
10H10,100-199,09/09/2017,10,1,AutoTheft,1,"Other, Unknown, or Not Listed",EASTWOOD ST,-,ST
10H10,5400-5499,09/09/2017,17,1,Theft,1,Convenience Store,HARRISBURG,-,BLVD
10H10,500-599,09/11/2017,08,1,Theft,1,Miscellaneous Business (Non-Specific),SAMPSON,-,-
10H10,3400-3499,09/12/2017,20,1,Theft,1,Department or Discount Store,NAVIGATION,-,-
10H10,UNK,09/12/2017,21,1,AutoTheft,1,Driveway,STILES,-,-
10H10,300-399,09/13/2017,15,1,Theft,1,Social Services or Public Charities,JENSEN,S,DR
10H10,2900-2999,09/14/2017,11,1,Theft,1,Hotel or Motel Parking Lot,COMMERCE ST,-,ST
10H10,3800-3899,09/15/2017,10,1,AutoTheft,1,Driveway,LOVEJOY ST,-,ST
10H10,2900-2999,09/15/2017,10,1,Theft,1,"Road, Street, or Sidewalk",COMMERCE ST,-,ST
10H10,7100-7199,09/15/2017,13,1,Theft,1,Residence or House,OLD KATY,-,RD
10H10,10300-10399,09/15/2017,15,1,Theft,1,Other Parking Lot,AVES STREET,-,-
10H10,3200-3299,09/15/2017,16,1,Theft,1,Construction Site,MADISON ELM,-,ST
10H10,2200-2299,09/15/2017,20,1,AutoTheft,1,"Road, Street, or Sidewalk",COMMERCE,-,ST
10H10,5400-5499,09/17/2017,20,1,Theft,1,"Other, Unknown, or Not Listed",SHERMAN,-,-
10H10,4800-4899,09/21/2017,22,1,Burglary,1,Residence or House,SHERMAN,-,-
10H10,2300-2399,09/25/2017,15,1,Theft,1,"Road, Street, or Sidewalk",COMMERCE ST,-,ST
10H10,200-299,09/26/2017,10,1,AutoTheft,1,Driveway,BURR,-,-
10H10,2100-2199,09/28/2017,12,1,Theft,1,Other Parking Lot,CANAL ST,-,ST
10H10,400-499,09/28/2017,16,1,Theft,1,"Road, Street, or Sidewalk",VELASCO,-,-
10H10,2500-2599,09/29/2017,07,1,Burglary,1,"Physician, Doctor, Dentist's Office",CANAL,-,ST
10H10,2800-2899,09/29/2017,20,1,Robbery,1,Commercial Parking Lot or Garage,CANAL ST 201,-,-
10H10,1800-1899,09/30/2017,10,1,Theft,1,Apartment Parking Lot,STATE,N,ST
10H10,1900-1999,09/30/2017,16,1,Burglary,1,Apartment,RUNNELS,-,-
10H10,2100-2199,09/30/2017,17,1,Theft,1,Apartment Parking Lot,RUNNELS,-,-
10H20,3900-3999,09/03/2017,15,1,Burglary,1,Residence or House,COYLE ST,-,ST
10H20,4100-4199,09/04/2017,04,1,Theft,1,"Road, Street, or Sidewalk",LEELAND,-,-
10H20,4800-4899,09/05/2017,20,1,Burglary,1,Residence or House,WALKER ST,-,ST
10H20,1400-1499,09/07/2017,09,1,Burglary,1,Apartment,GUSTAV,-,-
10H20,2000-2099,09/07/2017,06,1,Theft,1,Driveway,HENNINGER,-,-
10H20,5100-5199,09/08/2017,20,1,AutoTheft,1,"Road, Street, or Sidewalk",PEASE ST,-,ST
10H20,5200-5299,09/08/2017,22,1,Theft,1,Driveway,POLK,-,-
10H20,5100-5199,09/10/2017,15,1,AutoTheft,1,Bar or Night Club Parking Lot,LAWNDALE,-,-
10H20,5400-5499,09/11/2017,10,1,Theft,1,Office Building,POLK,-,-
10H20,4700-4799,09/12/2017,06,1,Theft,1,"Road, Street, or Sidewalk",RUSK ST,-,ST
10H20,400-499,09/15/2017,17,1,Theft,1,Commercial Parking Lot or Garage,TELEPHONE RD,-,RD
10H20,4400-4499,09/18/2017,08,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H20,11500-11599,09/19/2017,17,1,Theft,1,Service or Gas Station,SABO,-,RD
10H20,4200-4299,09/20/2017,17,1,Theft,1,Residence or House,RUSK ST,-,ST
10H20,1400-1499,09/20/2017,18,1,Burglary,1,Residence or House,MUNGER STREET,-,-
10H20,5200-5299,09/25/2017,17,1,Burglary,1,Residence or House,LINDSAY,-,-
10H20,4400-4499,09/26/2017,08,1,Theft,1,"Multi-Plex Home (Duplex,Triplex Etc.)",BELL ST,-,ST
10H20,4600-4699,09/28/2017,09,1,Theft,1,Garage or Carport,WOODSIDE ST,-,ST
10H30,2100-2199,09/01/2017,09,1,Theft,1,Other Parking Lot,TEXAS ST,-,ST
10H30,2000-2099,09/02/2017,08,1,Theft,1,Garage or Carport,TEXAS ST,-,ST
10H30,2200-2299,09/05/2017,10,1,AutoTheft,1,Apartment Parking Lot,MCKINNEY ST,-,ST
10H30,3100-3199,09/06/2017,13,1,Burglary,1,"Toys, Arts Craft,Musical, Bike,Pet Stores",LEELAND,-,-
10H30,4700-4799,09/07/2017,05,1,AutoTheft,1,Other Parking Lot,AIRPORT,-,BLVD
10H30,12700-12799,09/08/2017,03,1,Theft,1,Other Parking Lot,FERN FOREST,-,ST
10H30,800-899,09/09/2017,13,1,AutoTheft,1,"Road, Street, or Sidewalk",EMANCIPATION AVE,-,-
10H30,5800-5899,09/10/2017,00,1,Theft,1,"Road, Street, or Sidewalk",CLERKENWELL,-,DR
10H30,3300-3399,09/11/2017,09,1,Theft,1,Driveway,MCKINNEY ST,-,ST
